"ont"	"label"	"sample"	"dataset"
"CL:0000136"	"Adipocytes"	"adipose.tissue.2"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"nasal.cavity.respiratory.epithelium.epithelial.cell.of.viscerocranial.mucosa.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"epithelial.cell.of.alveolus.of.lung.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"placental.epithelial.cell"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"uterine.smooth.muscle.cell"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.the.umbilical.artery.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"placental.epithelial.cell.1"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.the.coronary.artery.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"dermis.microvascular.lymphatic.vessel.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"aortic.smooth.muscle.cell.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.arm.3"	"Blueprint-Encode"
"CL:0000127"	"Astrocytes"	"astrocyte.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"airway.epithelial.cell.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"dermis.lymphatic.vessel.endothelial.cell"	"Blueprint-Encode"
"CL:0000187"	"Myocytes"	"skeletal.muscle.myoblast"	"Blueprint-Encode"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue.5"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"thoracic.aorta.endothelial.cell"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"tracheal.epithelial.cell.1"	"Blueprint-Encode"
"CL:0000650"	"Mesangial cells"	"mesangial.cell.1"	"Blueprint-Encode"
"CL:0000136"	"Adipocytes"	"adipose.tissue.3"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"bronchial.smooth.muscle.cell"	"Blueprint-Encode"
"CL:0000187"	"Myocytes"	"skeletal.muscle.myoblast.1"	"Blueprint-Encode"
"CL:0000540"	"Neurons"	"Purkinje.cell.3"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"thoracic.aorta.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.villous.mesenchyme.1"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"uterine.smooth.muscle.cell.1"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"bronchial.smooth.muscle.cell.1"	"Blueprint-Encode"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue.6"	"Blueprint-Encode"
"CL:0000136"	"Adipocytes"	"adipose.tissue.of.omentum.2"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.dermis.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"epithelial.cell.of.umbilical.artery.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"dermis.lymphatic.vessel.endothelial.cell.1"	"Blueprint-Encode"
